# tracer: function
#
# entries-in-buffer/entries-written: 1218/1218   #P:4
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
    kworker/u8:2-21565   [003] .... 38958.009825: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.042447: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.042687: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.042705: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.043108: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.075702: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.075944: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.075980: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.076376: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.109015: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.109257: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.109274: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.109681: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.142295: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.142535: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.142553: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [000] .... 38958.142950: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.175566: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.175805: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.175835: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.176235: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.208864: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.209104: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.209122: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.209523: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.242135: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.242374: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.242406: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.242808: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.275414: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.275655: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.275686: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.276084: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.308717: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.308957: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.308973: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.309370: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
     kworker/0:1-26104   [000] d.h. 38958.341947: vb2_buffer_done <-rkisp_stats_send_meas_v21
     kworker/0:1-26104   [000] dNh. 38958.342187: vb2_buffer_done <-rkisp_params_cfg_v2x
     kworker/0:1-26104   [000] .Ns. 38958.342220: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38958.342618: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.375290: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.375534: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.375561: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [000] .... 38958.376026: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.408636: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.408902: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.408925: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38958.409437: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.441906: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.442170: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.442201: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38958.442608: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.475147: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.475400: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.475429: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [000] .... 38958.475895: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.508489: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.508754: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.508788: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [000] .... 38958.509278: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.541652: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.541902: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.541956: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [000] .... 38958.542341: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] dnh. 38958.574935: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dnh. 38958.575182: vb2_buffer_done <-rkisp_params_cfg_v2x
